Time [s],Force sensor Rx,Stepper PUL
0.211653625,1,0
0.211671250,0,0
0.211696875,1,0
0.215439500,1,1
0.220070500,0,1
0.220078875,1,1
0.220157250,0,1
0.220165500,1,1
0.220174500,0,1
0.220191500,1,1
0.220200500,0,1
0.220208875,1,1
0.220243875,0,1
0.220278125,1,1
0.220287250,0,1
0.220304125,1,1
0.220330500,0,1
0.220338875,1,1
0.220356500,0,1
0.220364875,1,1
0.220417250,0,1
0.220425500,1,1
0.220434625,0,1
0.220440250,0,0
0.220442875,1,0
0.220451875,0,0
0.220477500,1,0
0.220503875,0,0
0.220538250,1,0
0.220547250,0,0
0.220555500,1,0
0.220564625,0,0
0.220581500,1,0
0.220590625,0,0
0.220598875,1,0
0.220607875,0,0
0.220616250,1,0
0.220625250,0,0
0.220650875,1,0
0.220677250,0,0
0.220685625,1,0
0.220764000,0,0
0.220772250,1,0
0.220781250,0,0
0.220798250,1,0
0.220807250,0,0
0.220824250,1,0
0.220850625,0,0
0.220876250,1,0
0.220885250,0,0
0.220928250,1,0
0.220937375,0,0
0.220945625,1,0
0.220963250,0,0
0.220971625,1,0
0.220980625,0,0
0.220997625,1,0
0.221024000,0,0
0.221032250,1,0
0.221067375,0,0
0.221075625,1,0
0.221093375,0,0
0.221101625,1,0
0.221110625,0,0
0.221145000,1,0
0.221154000,0,0
0.221171000,1,0
0.221197375,0,0
0.221205625,1,0
0.221214625,0,0
0.221231625,1,0
0.221240750,0,0
0.221249000,1,0
0.221284000,0,0
0.221309625,1,0
0.221327375,0,0
0.221344375,1,0
0.221370750,0,0
0.221405000,1,0
0.221431375,0,0
0.221439625,1,0
0.221457375,0,0
0.221465750,1,0
0.221483375,0,0
0.221491750,1,0
0.221500750,0,0
0.221517750,1,0
0.221544125,0,0
0.221561000,1,0
0.221578750,0,0
0.221587000,1,0
0.221604750,0,0
0.221613000,1,0
0.221630750,0,0
0.221639000,1,0
0.221648125,0,0
0.221665000,1,0
0.221682750,0,0
0.221708375,1,0
0.224454125,1,1
0.228441625,1,0
0.230064625,0,0
0.230073000,1,0
0.230151375,0,0
0.230159625,1,0
0.230168625,0,0
0.230185625,1,0
0.230194625,0,0
0.230203000,1,0
0.230238000,0,0
0.230272375,1,0
0.230281375,0,0
0.230298375,1,0
0.230324750,0,0
0.230350375,1,0
0.230411375,0,0
0.230419625,1,0
0.230428750,0,0
0.230437000,1,0
0.230446000,0,0
0.230471625,1,0
0.230498000,0,0
0.230506375,1,0
0.230532750,0,0
0.230549750,1,0
0.230558750,0,0
0.230575750,1,0
0.230584750,0,0
0.230593000,1,0
0.230602125,0,0
0.230610375,1,0
0.230619375,0,0
0.230645000,1,0
0.230671375,0,0
0.230679750,1,0
0.230758125,0,0
0.230766375,1,0
0.230775375,0,0
0.230792375,1,0
0.230801375,0,0
0.230818375,1,0
0.230844750,0,0
0.230870375,1,0
0.230879375,0,0
0.230922375,1,0
0.230931500,0,0
0.230939750,1,0
0.230957500,0,0
0.230965750,1,0
0.230974750,0,0
0.230991750,1,0
0.231018125,0,0
0.231026500,1,0
0.231061500,0,0
0.231069750,1,0
0.231087500,0,0
0.231095750,1,0
0.231104875,0,0
0.231139125,1,0
0.231148125,0,0
0.231165125,1,0
0.231191500,0,0
0.231199750,1,0
0.231208875,0,0
0.231225750,1,0
0.231234875,0,0
0.231243125,1,0
0.231278125,0,0
0.231303750,1,0
0.231321500,0,0
0.231338500,1,0
0.231364875,0,0
0.231399125,1,0
0.231425500,0,0
0.231433875,1,0
0.231451500,0,0
0.231459875,1,0
0.231477500,0,0
0.231485875,1,0
0.231494875,0,0
0.231511875,1,0
0.231538250,0,0
0.231555125,1,0
0.231572875,0,0
0.231581125,1,0
0.231598875,0,0
0.231607250,1,0
0.231624875,0,0
0.231633250,1,0
0.231642250,0,0
0.231659250,1,0
0.231676875,0,0
0.231702500,1,0
0.232442500,1,1
0.236442875,1,0
0.239443625,1,1
0.240076125,0,1
0.240084500,1,1
0.240162750,0,1
0.240171125,1,1
0.240180125,0,1
0.240197125,1,1
0.240206125,0,1
0.240214500,1,1
0.240249500,0,1
0.240283750,1,1
0.240292875,0,1
0.240309750,1,1
0.240336125,0,1
0.240361750,1,1
0.240422875,0,1
0.240431125,1,1
0.240440250,0,1
0.240448500,1,1
0.240457500,0,1
0.240483125,1,1
0.240509500,0,1
